INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
ERROR: TFCPlus.zs:174: Could not resolve <liquid : oil>
ERROR: Error parsing TFCPlus.zs:175 -- ; expected
<bark:item.BambooBarkBasket>, Bamboo Bark Basket
<bark:item.BambooBarkPants>, Bamboo Bark Pants
<bark:item.BambooBarkShirt>, Bamboo Bark Shirt
<bark:item.BambooBastShoes>, Bamboo Bark Shoes
<bark:item.BambooBoots>, Bamboo Bark Boots
<bark:item.BambooHat>, Bamboo Bark Hat
<bark:item.BarkCloth>, Stripped Bark Cloth
<bark:item.BarkSheet>, Stripped Bark Sheet
<bark:item.BarkStrip>, Stripped Bark Strip
<bark:item.BirchBarkBasket>, Birch Bark Basket
<bark:item.BirchBarkPants>, Birch Bark Pants
<bark:item.BirchBarkShirt>, Birch Bark Shirt
<bark:item.BirchBarkShirtStripped>, Stripped Bark Shirt
<bark:item.BirchBastShoes>, Birch Bark Shoes
<bark:item.BirchBastShoesStripped>, Stripped Bark Shoes
<bark:item.BirchBoots>, Birch Bark Boots
<bark:item.BirchBootsStripped>, Stripped Bark Boots
<bark:item.BirchHat>, Birch Bark Hat
<bark:item.BirchHatStripped>, Stripped Bark Hat
<bark:item.FlatRock>, item.Flat Bark Cloth.StrippedBark.name
<bark:item.StrippedBarkBasket>, Stripped Bark Basket
<bark:item.StrippedBarkPants>, Stripped Bark Pants
<minecraft:acacia_stairs>, Acacia Wood Stairs
<minecraft:activator_rail>, Activator Rail
<minecraft:anvil>, Anvil
<minecraft:apple>, Apple
<minecraft:arrow>, Arrow
<minecraft:baked_potato>, Baked Potato
<minecraft:beacon>, Beacon
<minecraft:bed>, Bed
<minecraft:bedrock>, Bedrock
<minecraft:beef>, Raw Beef
<minecraft:birch_stairs>, Birch Wood Stairs
<minecraft:blaze_powder>, Blaze Powder
<minecraft:blaze_rod>, Blaze Rod
<minecraft:boat>, Boat
<minecraft:bone>, Bone
<minecraft:book>, Book
<minecraft:bookshelf>, Bookshelf
<minecraft:bow>, Bow
<minecraft:bowl>, Bowl
<minecraft:bread>, Bread
<minecraft:brewing_stand>, Brewing Stand
<minecraft:brick>, Brick
<minecraft:brick_block>, Bricks
<minecraft:brick_stairs>, Brick Stairs
<minecraft:brown_mushroom>, Mushroom
<minecraft:brown_mushroom_block>, Mushroom
<minecraft:bucket>, Bucket
<minecraft:cactus>, Cactus
<minecraft:cake>, Cake
<minecraft:carpet>, Carpet
<minecraft:carrot>, Carrot
<minecraft:carrot_on_a_stick>, Carrot on a Stick
<minecraft:carrots>, Carrots
<minecraft:cauldron>, Cauldron
<minecraft:chainmail_boots>, Chain Boots
<minecraft:chainmail_chestplate>, Chain Chestplate
<minecraft:chainmail_helmet>, Chain Helmet
<minecraft:chainmail_leggings>, Chain Leggings
<minecraft:chest>, Chest
<minecraft:chest_minecart>, Minecart with Chest
<minecraft:chicken>, Raw Chicken
<minecraft:clay>, Clay
<minecraft:clay_ball>, Clay
<minecraft:clock>, Clock
<minecraft:coal>, Coal
<minecraft:coal_block>, Block of Coal
<minecraft:coal_ore>, Coal Ore
<minecraft:cobblestone>, Cobblestone
<minecraft:cobblestone_wall>, Cobblestone Wall
<minecraft:cocoa>, Cocoa
<minecraft:command_block>, Command Block
<minecraft:command_block_minecart>, Minecart with Command Block
<minecraft:comparator>, Redstone Comparator
<minecraft:compass>, Compass
<minecraft:cooked_beef>, Steak
<minecraft:cooked_chicken>, Cooked Chicken
<minecraft:cooked_fished>, Cooked Fish
<minecraft:cooked_porkchop>, Cooked Porkchop
<minecraft:cookie>, Cookie
<minecraft:crafting_table>, Crafting Table
<minecraft:dark_oak_stairs>, Dark Oak Wood Stairs
<minecraft:daylight_detector>, Daylight Sensor
<minecraft:deadbush>, Dead Bush
<minecraft:detector_rail>, Detector Rail
<minecraft:diamond>, Diamond
<minecraft:diamond_axe>, Diamond Axe
<minecraft:diamond_block>, Block of Diamond
<minecraft:diamond_boots>, Diamond Boots
<minecraft:diamond_chestplate>, Diamond Chestplate
<minecraft:diamond_helmet>, Diamond Helmet
<minecraft:diamond_hoe>, Diamond Hoe
<minecraft:diamond_horse_armor>, Diamond Horse Armor
<minecraft:diamond_leggings>, Diamond Leggings
<minecraft:diamond_ore>, Diamond Ore
<minecraft:diamond_pickaxe>, Diamond Pickaxe
<minecraft:diamond_shovel>, Diamond Shovel
<minecraft:diamond_sword>, Diamond Sword
<minecraft:dirt>, Dirt
<minecraft:dispenser>, Dispenser
<minecraft:double_plant>, Sunflower
<minecraft:double_stone_slab>, Stone Slab
<minecraft:double_wooden_slab>, Oak Wood Slab
<minecraft:dragon_egg>, Dragon Egg
<minecraft:dropper>, Dropper
<minecraft:dye>, Ink Sac
<minecraft:egg>, Egg
<minecraft:emerald>, Emerald
<minecraft:emerald_block>, Block of Emerald
<minecraft:emerald_ore>, Emerald Ore
<minecraft:enchanted_book>, Enchanted Book
<minecraft:enchanting_table>, Enchantment Table
<minecraft:end_portal>, Unnamed Block, report to mod author.
<minecraft:end_portal_frame>, End Portal
<minecraft:end_stone>, End Stone
<minecraft:ender_chest>, Ender Chest
<minecraft:ender_eye>, Eye of Ender
<minecraft:ender_pearl>, Ender Pearl
<minecraft:experience_bottle>, Bottle o' Enchanting
<minecraft:farmland>, Farmland
<minecraft:feather>, Feather
<minecraft:fence>, Fence
<minecraft:fence_gate>, Fence Gate
<minecraft:fermented_spider_eye>, Fermented Spider Eye
<minecraft:filled_map>, Map
<minecraft:fire>, Fire
<minecraft:fire_charge>, Fire Charge
<minecraft:firework_charge>, Firework Star
<minecraft:fireworks>, Firework Rocket
<minecraft:fish>, Raw Fish
<minecraft:fishing_rod>, Fishing Rod
<minecraft:flint>, Flint
<minecraft:flint_and_steel>, Flint and Steel
<minecraft:flower_pot>, Flower Pot
<minecraft:flowing_lava>, Lava
<minecraft:flowing_water>, Water
<minecraft:furnace>, Furnace
<minecraft:furnace_minecart>, Minecart with Furnace
<minecraft:ghast_tear>, Ghast Tear
<minecraft:glass>, Glass
<minecraft:glass_bottle>, Glass Bottle
<minecraft:glass_pane>, Glass Pane
<minecraft:glowstone>, Glowstone
<minecraft:glowstone_dust>, Glowstone Dust
<minecraft:gold_block>, Block of Gold
<minecraft:gold_ingot>, Gold Ingot
<minecraft:gold_nugget>, Gold Nugget
<minecraft:gold_ore>, Gold Ore
<minecraft:golden_apple>, Golden Apple
<minecraft:golden_axe>, Golden Axe
<minecraft:golden_boots>, Golden Boots
<minecraft:golden_carrot>, Golden Carrot
<minecraft:golden_chestplate>, Golden Chestplate
<minecraft:golden_helmet>, Golden Helmet
<minecraft:golden_hoe>, Golden Hoe
<minecraft:golden_horse_armor>, Gold Horse Armor
<minecraft:golden_leggings>, Golden Leggings
<minecraft:golden_pickaxe>, Golden Pickaxe
